Ir,3.88075,,,IrPtRuRhAg,3.92401
Pd,3.95315,,,IrPtRuRhFe,3.80391
Pt,3.9817,,,IrPtRuAgFe,3.85259
Rh,3.8421,,,IrPtRhAgFe,3.85501
Ru,3.83,,,IrRuRhAgFe,3.82467
Fe,3.485,,,PtRuRhAgFe,3.84486
Co,3.5834,,,,
Ni,3.52414,,,,
Ag,4.0855,,,,
